,DATE,Total Power,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed,BC,BL,BR,DZ,FG,FZ,GS,HZ,MI,PL,RA,SN,TS,VCTS
0,2019-03-01 00:00:00,0.0,9,17.0,0.00,70.0,OVC,29.64,10.00,15.0,130,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-03-01 01:00:00,0.0,9,17.0,0.00,70.0,OVC,29.63,10.00,15.0,120,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-03-01 02:00:00,0.0,9,17.0,0.00,70.0,OVC,29.62,10.00,15.0,120,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-03-01 03:00:00,0.0,10,19.0,0.00,68.0,OVC,29.63,10.00,17.0,090,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-03-01 04:00:00,0.0,8,16.0,0.00,71.0,SCT,29.63,10.00,14.0,120,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-03-01 05:00:00,0.0,6,12.0,0.00,77.0,FEW,29.63,10.00,11.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-03-01 06:00:00,0.0,5,10.0,0.00,80.0,FEW,29.64,10.00,9.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-03-01 07:00:00,0.0,8,13.0,0.00,81.0,FEW,29.66,10.00,12.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-03-01 08:00:00,0.0,10,19.0,0.00,68.0,FEW,29.66,10.00,17.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-03-01 09:00:00,0.0,13,26.0,0.00,57.0,FEW,29.65,10.00,22.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-03-01 10:00:00,0.0,16,29.0,0.00,58.0,FEW,29.64,10.00,25.0,240,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-03-01 11:00:00,0.0,18,32.0,0.00,56.0,FEW,29.65,10.00,27.0,210,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-03-01 12:00:00,0.0,18,35.0,0.00,50.0,SCT,29.64,10.00,29.0,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-03-01 13:00:00,0.0,18,38.0,0.00,44.0,SCT,29.61,10.00,31.0,250,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-03-01 14:00:00,0.0,17,37.0,0.00,44.0,BKN,29.60,10.00,30.0,010,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-03-01 15:00:00,0.0,21,33.0,0.00,61.0,BKN,29.59,10.00,29.0,030,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-03-01 16:00:00,0.0,21,33.0,0.00,61.0,BKN,29.58,10.00,29.0,060,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-03-01 17:00:00,0.0,22,31.0,0.00,69.0,BKN,29.59,10.00,28.0,030,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-03-01 18:00:00,0.0,22,30.0,0.00,72.0,BKN,29.58,10.00,27.0,030,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-03-01 19:00:00,0.0,22,30.0,0.00,72.0,BKN,29.58,10.00,27.0,040,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2019-03-01 20:00:00,0.0,22,29.0,0.00,75.0,BKN,29.58,10.00,27.0,020,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2019-03-01 21:00:00,0.0,22,29.0,0.00,75.0,BKN,29.57,10.00,27.0,040,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2019-03-01 22:00:00,0.0,21,28.0,0.00,75.0,BKN,29.56,10.00,26.0,060,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2019-03-01 23:00:00,0.0,23,30.0,0.00,75.0,BKN,29.54,10.00,28.0,070,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2019-03-02 00:00:00,0.0,22,29.0,0.00,75.0,OVC,29.53,10.00,27.0,060,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2019-03-02 01:00:00,0.0,21,28.0,0.00,75.0,CLR,29.52,10.00,26.0,040,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2019-03-02 02:00:00,0.0,21,27.0,0.00,78.0,FEW,29.50,10.00,25.0,070,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2019-03-02 03:00:00,0.0,22,27.0,0.00,81.0,SCT,29.48,10.00,25.0,060,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2019-03-02 04:00:00,0.0,20,24.0,0.00,84.0,OVC,29.47,9.00,23.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2019-03-02 05:00:00,0.0,23,27.0,0.00,85.0,OVC,29.47,9.00,26.0,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
